mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-1069443,CeAl3Cu,5,Ce1 Al3 Cu1,6.094870782988166,6.094870782988166,6.094870782988166,139.42411823310115,139.42411823310115,58.72874577866877,tet,I4mm,0.932715299999999,-12.869336412000001,-0.49259246200000106,0.0,True,4.980354881022077,0.0,False,94.89291736008357,,
mp-1226654,CeAl3Cu,5,Ce1 Al3 Cu1,6.130488723085868,6.130488723085868,6.130488723085868,139.71461618158253,139.71461618158253,58.28687054422797,tet,I-4m2,0.4629253,-12.787664178,-0.41092022800000005,0.08167223400000001,False,4.951197712519546,0.0,False,95.4517334166851,,
mp-1226634,CeAl3Pd,5,Ce1 Al3 Pd1,6.263127719281956,6.263127719281956,6.263127719281956,140.9531418866156,140.9531418866156,56.40890758067778,tet,I-4m2,0.3650811,-15.421425855833343,-0.621950383833342,0.07429680566666401,False,5.622127336199421,0.0,False,96.72394870688436,,
mp-1226648,CeAl3Pt,5,Ce1 Al3 Pt1,6.278851231922205,6.278851231922205,6.278851231922205,141.40997204204623,141.40997204204623,55.7185829810156,tet,I-4m2,0.390417099999999,-5.352577743999999,-0.703615607999998,0.088338031333341,False,7.229821615241062,0.0,False,95.57972916432833,,
mp-19843,CeAlO3,20,Ce1 Al1 O3,5.29975512,5.3516261400000005,7.53646362,90.0,90.0,90.0,ortho,Imma,4.0000001,-8.525620271,-3.620338527999999,0.0,True,6.683927317617278,0.0,False,213.7515026909713,,
mp-3408,CeAlO3,10,Ce1 Al1 O3,5.310341728653377,5.310343356386387,5.310340091238828,60.419023500008294,60.41902344162003,60.4189528898534,trig,R-3c,2.0,-8.524981815,-3.619700071999999,0.000638455999995,False,6.6828728991216835,0.0,False,106.8926141185251,,
mp-4096,CeAlO3,10,Ce1 Al1 O3,5.330749433749146,5.330749433749146,5.330749433749146,120.30143003712028,120.30143003712028,89.47869597856925,tet,I4/mcm,2.0,-8.520020075000001,-3.614738332,0.0056001959999940005,False,6.699830082698576,0.0,False,106.62207029006254,"{'voigt': 185.423, 'reuss': 185.303, 'vrh': 185.363}","{'voigt': 22.77, 'reuss': 62.244, 'vrh': 42.507}"
mp-5323,CeAlO3,5,Ce1 Al1 O3,3.76203913,3.76203913,3.76201474,90.0,90.0,90.0,cubic,Pm-3m,1.0000001,-8.508505242,-3.603223498999999,0.017115028999995,False,6.708320355031181,0.0,False,53.243562933991896,"{'voigt': 191.964, 'reuss': 191.964, 'vrh': 191.964}","{'voigt': 57.814, 'reuss': 39.622, 'vrh': 48.718}"
mp-776167,CeAlO3,20,Ce1 Al1 O3,5.352054,5.353887,7.640165,90.0,90.0,90.0,ortho,Pnma,4.0000001,-8.522544917000001,-3.617263174,0.0030753539999940002,False,6.526021045851421,0.0,False,218.92352138921584,,
mp-1078398,CeAsO3,10,Ce1 As1 O3,5.329352,4.409537,6.185939894306523,74.6743194085263,90.0,90.0,mono,P2_1/m,2.0,-7.836076696000001,-2.7458856125,0.15253630916666802,False,6.230832471975322,0.0609,False,140.19995683687966,,
mp-1195015,CeAsO3,40,Ce1 As1 O3,7.83511,8.352207,9.157426652534324,76.50559667932941,90.0,90.0,mono,P2_1/c,4.3995096,-7.90909450425,-2.818903420749999,0.07951850091667001,False,5.9964256251811054,0.286099999999999,True,582.7221069567656,,
mp-20178,CeBO3,10,Ce1 B1 O3,4.123922230015337,5.07313499,6.26413284235435,90.0,107.7041530357546,90.0,mono,P2_1/m,2.0,-8.898571303,-3.406526371833334,0.005873612000007001,False,5.291666846074193,0.029300000000000003,False,124.84650887509291,,
mp-20882,CeBO3,20,Ce1 B1 O3,5.07545184,5.77348995,8.22244861,90.0,90.0,90.0,ortho,Pnma,4.0000001,-8.904444915000001,-3.412399983833333,0.0,True,5.483837776597158,0.058699999999999,False,240.9429887520787,,
mp-19948,CeBPd3,5,Ce1 B1 Pd3,4.381105,4.381105,4.381105,90.0,90.0,90.0,cubic,Pm-3m,0.8183758,-21.917328916333332,-0.503660158833332,0.20786606866666402,False,9.284718247713721,0.0,False,84.09128433161773,,
mp-22435,CeBPt3,5,Ce1 B1 Pt3,3.9975675600000002,3.9975675600000002,5.14411559,90.0,90.0,90.0,tet,P4mm,0.9056964,-39.518281412,-0.9882546805000001,0.0,True,14.870657773559776,0.0,False,82.20577785631383,,
mp-510376,CeBRh3,5,Ce1 B1 Rh3,4.211492039999999,4.2115074,4.211488969999999,90.0,90.0,90.0,cubic,Pm-3m,0.1962417,-22.919038982,-0.799905212499999,0.0,True,10.217884765623579,0.0,False,74.69804230192618,"{'voigt': 190.777, 'reuss': 190.777, 'vrh': 190.777}","{'voigt': 60.214, 'reuss': 52.932, 'vrh': 56.573}"
mp-1189296,CeBS3,20,Ce1 B1 S3,6.00989239,7.69555744,8.97561916,90.0,90.0,90.0,ortho,Pna2_1,3.9999998,-6.523589921999999,-1.517305853333331,0.012690893779999001,False,3.9541150544870782,0.078699999999999,False,415.117647879931,,
mp-1226619,CeBeAl3,5,Ce1 Be1 Al3,6.078223897509617,6.078223897509617,6.078223897509617,140.0484078297961,140.0484078297961,57.77980561405811,tet,I4mm,0.9203017,-4.49561226,-0.312994214999999,0.024206002115389,False,4.162448910446795,0.0,False,91.78367762064714,,
mp-1183685,CeBeO3,5,Ce1 Be1 O3,3.600447,3.600447,3.600447,90.0,90.0,90.0,cubic,Pm-3m,4.5e-06,-8.082590292,-3.178541142,0.41890689699999906,False,7.013334961429547,0.809399999999999,False,46.67338151802652,,
mp-1213812,CeCdO3,20,Ce1 Cd1 O3,6.005827127993696,6.002484069460326,8.480962,90.0,90.0,90.43534920234846,ortho,Cmcm,0.0005533,-7.0651081545,-2.716939539499999,0.177826717500001,False,6.529103599984977,1.544699999999999,False,305.7288508020773,,
mp-21116,CeCoGe3,5,Ce1 Co1 Ge3,4.297285198019675,4.297286285178925,5.758266039823102,111.90945441128501,111.90943593534122,89.99999529923558,tet,I4mm,0.9140908,-5.958657667999999,-0.570767636999998,0.0,True,7.665580972388106,0.0,False,90.32500476614855,,
mp-568089,CeCoSb3,40,Ce1 Co1 Sb3,6.174765298353113,12.115871850272256,12.791689441478034,90.0007211305886,90.039784361194,90.0004254919554,ortho,Pbcm,6.4822489,-5.759325205999994,-0.667851143999993,0.0,True,7.833731370250567,0.0,False,956.9801469364971,,
mp-1070753,CeCoSi3,5,Ce1 Co1 Si3,5.5480968803644,5.5480968803644,5.5480968803644,136.67322399889952,136.67322399889952,62.941219873955795,tet,I4mm,0.0033292,-6.527114158000001,-0.6578500220000001,0.0,True,5.925122784996504,0.0,False,79.39754017064506,,
mp-1226614,CeCoSi3,5,Ce1 Co1 Si3,5.732881217822849,5.732881217822849,5.732881217822849,139.52060105312572,139.52060105312572,58.581926011128175,tet,I-4m2,0.6115432,-6.338877355999999,-0.46961321999999905,0.188236802000001,False,5.9801702424520915,0.0,False,78.66668594117921,,
mp-20650,CeCrGe3,10,Ce1 Cr1 Ge3,6.10950878,6.109507321894468,5.94625055,90.0,90.0,120.00001351140608,hex_,P6_3/mmc,3.0485012,-6.3178807379999995,-0.426064556999998,0.0,True,7.084524239240195,0.0,False,192.21455036846925,,
mp-20530,CeCrO3,5,Ce1 Cr1 O3,3.90655,3.90655,3.90655,90.0,90.0,90.0,cubic,Pm-3m,4.0008028,-9.057196486,-2.970420415,0.19220243360000203,False,6.687745320618523,0.0,False,59.618378740261385,,
mp-780712,CeCrO3,20,Ce1 Cr1 O3,5.486245999999999,5.7197569999999995,7.808315,90.0,90.0,90.0,ortho,Pnma,9.0082449,-9.187636586,-3.100860515,0.061762333600002,False,6.5089314590652645,0.0,False,245.02487755512755,,
mp-21871,CeCrS3,20,Ce1 Cr1 S3,3.77068444,7.86657679,13.07550999,90.0,90.0,90.0,ortho,Pnma,15.9356442,-7.272074480000001,-1.671059271499999,0.0,True,4.937417072484672,0.0,False,387.85072899440706,,
